y,id,temp_c,do_percent,do_mg_l,spc_us,sal_ppt,ph,water_level_cm,turbidity,tdn_umol_l,tdp_umol_l,po4_umol_l,si_umol_l,nox_umol_l,nh4_umol_l,toc_umol_l,cor_tdn_umol_l,cor_tdp_umol_l,cor_po4_umol_l,cor_nox_umol_l,cor_nh4_umol_l
53,WAIKOLU_S1T01,25.6,34.9,2.79,214.7,0.1,6.58,27.5,,,,,,,,,,,,,
54,WAIKOLU_S1T02,28.15,45.4,3.595,220.4,0.105,7.545,23,,,,,,,,,,,,,
55,WAIKOLU_S1T03,29.95,38.5,2.87,219.9,0.1,7.1,19,,,,,,,,,,,,,
56,WAIKOLU_S1T04,28.56666667,10.67333333,143.18,268.3,0.126666667,7.676666667,23,,,,,,,,,,,,,
57,WAIKOLU_S1T05,26.2,29.75,2.285,245.05,0.115,7.46,21.5,,,,,,,,,,,,,
58,WAIKOLU_S1T06,25.5,28.1,2.17,224.5,0.1,7.55,19,,,,,,,,,,,,,
59,WAIKOLU_S1T06,25.2,30.4,2.38,236.4,0.11,7.56,17,,,,,,,,,,,,,
60,WAIKOLU_S1T07,25.35,23.55,1.81,252.75,0.12,7.66,21,,,,,,,,,,,,,
61,WAIKOLU_S1T08,25.5,23,1.785,246.3,0.115,7.49,22.5,,,,,,,,,,,,,
62,WAIKOLU_S1T09,28.6,43.45,3.125,223.7,0.105,7.515,21,,,,,,,,,,,,,
63,WAIKOLU_S1T10,31.95,35.65,2.455,295.7,0.14,7.425,24.5,,,,,,,,,,,,,
64,WAIKOLU_S1T11,31.55,20.95,1.495,273.95,0.125,7.375,24,,,,,,,,,,,,,
65,WAIKOLU_S1T12,32.2,32.7,2.32,225.2,0.1,7.24,17,,,,,,,,,,,,,
66,Papahana.AUWAI_43656,22.55,154.9,13.325,197.65,0.09,7.435,,,,,,,,,,,,,,
67,Papahana.AUWAI_43656,22.1,149.3,14.235,189.2,0.09,7.2,,,,,,,,,,,,,,
68,Papahana.AUWAI_43656,23.35,136.55,11.87,195.9,0.09,7.33,,,,,,,,,,,,,,
69,Papahana.HOI_43656,24.2,165.3,13.175,196.35,0.09,7.375,,,,,,,,,,,,,,
70,PUNAWAI_WELL_43656,20.75,157.85,14.045,180.7,0.08,7.67,,,,,,,,,,,,,,
71,Papahana.KAHAWAI_1_43656,21.8,158.25,14.065,155.1,0.07,7.59,,,,,,,,,,,,,,
72,Papahana.KAHAWAI_2_43656,22.8,161.65,13.625,158.05,0.07,7.775,,,,,,,,,,,,,,
73,Papahana.KAHAWAI_3_43656,23.95,157.15,13.04,159.9,0.07,7.78,,,,,,,,,,,,,,
74,PUNAWAI_WELL_43656,21.93333333,143.4,12.37666667,348.0666667,0.166666667,8.02,,,,,,,,,,,,,,
75,DOCK_43657,30.9,163.9,11.225,34209.5,21.03,8.025,,,,,,,,,,,,,,
76,HAU_43657,29.9,169.85,11.225,31780.5,19.065,7.945,,,,,,,,,,,,,,
77,HIHIMANU_43657,31.3,232.75,14.295,47100,30.435,8.155,,,,,,,,,,,,,,
